id,feature_id,license_number,license_code,license_name,applicable_nf
WSFD-105003:license:82206572,WSFD-105003,82206572,LKV2RRR02,区域漫游限制,
WSFD-105004:license:82205927,WSFD-105004,82205927,LKV2LIDC01,逻辑接口DSCP配置,
WSFD-105101:license:82206577,WSFD-105101,82206577,LKV2PFC02,PFC(仅用于Gb模式),
WSFD-105102:license:82206578,WSFD-105102,82206578,LKV2CNVQOS02,提供会话类QoS等级业务承载,
WSFD-105103:license:82206579,WSFD-105103,82206579,LKV2QCIE02,基于用户等级的QCI扩展,
WSFD-105104:license:82206580,WSFD-105104,82206580,LKV2IMSIQOS02,基于IMSI号段的QoS控制,
WSFD-105105:license:82206581,WSFD-105105,82206581,LKV2NQOS01,PCC模式的本地QoS策略控制,
WSFD-106001:license:82206543,WSFD-106001,82206543,LKV2SPCA01,终端侧二次PDP上下文激活,
WSFD-106002:license:82206544,WSFD-106002,82206544,LKV2EDGE02,支持EDGE功能(仅用于Gb模式),
WSFD-106004:license:82209921,WSFD-106004,82209921,LKV2DNNC01,DNN纠正,
WSFD-106006:license:82206573,WSFD-106006,82206573,LKV2NSPDP01,网络侧二次激活,
WSFD-106008:license:82206570,WSFD-106008,82206570,LKV2MIMSI02,一号多卡功能,
WSFD-106202:license:82207548,WSFD-106202,82207548,LKV2SMS02,SMS over GPRS/EDGE/WCDMA,
WSFD-106203:license:82200BNM,WSFD-106203,82200BNM,LKV2AAPN01,别名APN-USM,
WSFD-106204:license:82207542,WSFD-106204,82207542,LKV2NSBR01,基于无线区域的网络地址选择,
WSFD-106205:license:82206612,WSFD-106205,82206612,LKV2DTUSR02,主动分离未激活用户,
WSFD-106206:license:82206613,WSFD-106206,82206613,LKV2DAPDP02,去激活空闲PDP上下文,
WSFD-106207:license:82207381,WSFD-106207,82207381,LKV2SPID01,基于SPID的UE驻留和切换策略管理,
WSFD-106302:license:82207710,WSFD-106302,82207710,LKV2ACIU01,基于APN的接入速率控制,
WSFD-106303:license:82200FDD,WSFD-106303,82200FDD,LKV2DIFFSEC01,差异化服务,
WSFD-106304:license:82206549,WSFD-106304,82206549,LKV2SUPCHG02,SuperCharger功能,
WSFD-106305:license:82207544,WSFD-106305,82207544,LKV2RRMIM01,IM类业务资源管控,
WSFD-106306:license:82207553,WSFD-106306,82207553,LKV2SGHM01,快速移动用户业务保障,
WSFD-106401:license:82207547,WSFD-106401,82207547,LKV2LCS02,位置定位服务（LCS）** ”,
WSFD-106403:license:82207550,WSFD-106403,82207550,LKV2LCR01,小区位置信息上报功能（S11接口）,
WSFD-106701:license:82200DSL,WSFD-106701,82200DSL,LKV2MTLCS01,网络侧发起的5G位置定位服务** ”,
WSFD-107001:license:82200BER,WSFD-107001,82200BER,LKV2SCUPS01,支持CUPS架构,
WSFD-107005:license:82200BES,WSFD-107005,82200BES,LKV2GWUS01,GW-U选择,
WSFD-107010:license:82209917,WSFD-107010,82209917,LKV2USBL01,UPF选择,
WSFD-107015:license:82209919,WSFD-107015,82209919,LKV2SSCM01,支持SSC Mode1,
WSFD-108002:license:82200BNG,WSFD-108002,82200BNG,LKV2PCLBO01,基于预定义规则的分流策略控制,
WSFD-108004:license:82200BNH,WSFD-108004,82200BNH,LKV2DMECFP01,MEC冗余模式故障保护,
WSFD-108005:license:82200BNJ,WSFD-108005,82200BNJ,LKV2SMECFP01,MEC单点模式故障保护,
WSFD-109001:license:82207989,WSFD-109001,82207989,LKV3W9DOCH12,Gy/Diameter在线计费,
WSFD-109002:license:82207988,WSFD-109002,82207988,LKV3W9BCC12,内容计费基本功能,
WSFD-109003:license:82207991,WSFD-109003,82207991,LKV3W9TBCS12,基于业务时长的计费,
WSFD-109004:license:82207990,WSFD-109004,82207990,LKV3WPVBCS11,基于业务流量的计费,
WSFD-109005:license:82200DAY,WSFD-109005,82200DAY,LKV2UNCCOA1,支持CoA功能,
WSFD-109006:license:82209618,WSFD-109006,82209618,LKV3W9ASNR11,ASN漫游计费,
WSFD-109007:license:82209455,WSFD-109007,82209455,LKV3W9EBCS12,支持事件计费,
WSFD-109101:license:82207979,WSFD-109101,82207979,LKV3W9SPCC11,PCC基本功能,
WSFD-109102:license:82200BNK,WSFD-109102,82200BNK,LKV2BADCF01,ADC基本功能,
WSFD-109103:license:82207983,WSFD-109103,82207983,LKV3W9V6DP12,IPv6 SA,
WSFD-109104:license:82207980,WSFD-109104,82207980,LKV3W9PCBT12,基于累计流量的策略控制,
WSFD-109105:license:82208341,WSFD-109105,82208341,LKV3WPLBSM11,基于位置的业务管理,
WSFD-109107:license:82208819,WSFD-109107,82208819,LKV3W9STQE11,业务触发的QoS保证,
WSFD-109108:license:82209475,WSFD-109108,82209475,LKV3WPWULI11,基于接入点策略控制,
WSFD-109202:license:82207987,WSFD-109202,82207987,LKV3W9TCQS11,会话类QOS保证,
WSFD-109204:license:82200DBA,WSFD-109204,82200DBA,LKV2UNCQCI1,QCI 扩展,
WSFD-109301:license:82200BNR,WSFD-109301,82200BNR,LKV2NIDBA01,网络侧发起专有PDP/承载建立,
WSFD-109302:license:82200BNS,WSFD-109302,82200BNS,LKV2NIDBA02,网络侧发起专有PDP/承载建立扩展包1,
WSFD-109303:license:82200BNT,WSFD-109303,82200BNT,LKV2NIDBA03,网络侧发起专有PDP/承载建立扩展包2,
WSFD-110001:license:82209922,WSFD-110001,82209922,LKV2BNSFAM01,支持基于NSSAI选择切片-UAM,AMF
WSFD-110001:license:82209923,WSFD-110001,82209923,LKV2BNSFNS01,支持基于NSSAI选择切片-NSSF,NSSF
WSFD-110011:license:82200BYY,WSFD-110011,82200BYY,LKV2ASNSSR01,NSSF主备容灾,
WSFD-110012:license:82200CAB,WSFD-110012,82200CAB,LKV2DLNSSR01,NSSF双活容灾,
WSFD-111000:license:81203233,WSFD-111000,81203233,LKV2NFBAM01,NRF基本功能-UAM,AMF
WSFD-111000:license:81203234,WSFD-111000,81203234,LKV2NFBSM01,NRF基本功能-USM,SMF
WSFD-111000:license:82209924,WSFD-111000,82209924,LKV2NFBNR01,NRF基本功能-NRF,NRF
WSFD-112000:license:81203236,WSFD-112000,81203236,LKV2NFAAM01,NF认证-UAM,AMF
WSFD-112000:license:81203237,WSFD-112000,81203237,LKV2NFASM01,NF认证-USM,SMF
WSFD-112000:license:82209925,WSFD-112000,82209925,LKV2NFANR01,NF认证-NRF,NRF
WSFD-112000:license:81203238,WSFD-112000,81203238,LKV2NFANS01,NF认证-NSSF,NSSF
WSFD-114002:license:82200CAC,WSFD-114002,82200CAC,LKV2DLNRR01,NRF双活容灾,
WSFD-130001:license:82200BXC,WSFD-130001,82200BXC,LKV2SMSSAU01,SMSF 5G SA用户数,
WSFD-201001:license:82206607,WSFD-201001,82206607,LKV2DVSS01,基于SRVCC的数据语音双切换,
WSFD-201002:license:82206608,WSFD-201002,82206608,LKV2VPCU01,用户群语音策略控制,
WSFD-201003:license:82206609,WSFD-201003,82206609,LKV2NVIR01,网络语音业务信息上报功能,
WSFD-201004:license:82207524,WSFD-201004,82207524,LKV2VPCI01,基于IMEI的语音策略控制** ”,
WSFD-201005:license:82207032,WSFD-201005,82207032,LKV2VPCL01,基于区域的语音策略控制** ”,
WSFD-201007:license:82207700,WSFD-201007,82207700,LKV2MTSS01,SRVCC的MSC拓扑选择,
WSFD-201101:license:82206610,WSFD-201101,82206610,LKV2MIVT01,VoLTE一号多卡,
WSFD-201102:license:82206611,WSFD-201102,82206611,LKV2VLPC01,语音业务的位置信息策略控制功能,
WSFD-201103:license:82206550,WSFD-201103,82206550,LKV2IMS02,IMS功能,
WSFD-201201:license:82207526,WSFD-201201,82207526,LKV2MCR01,MME链式备份,
WSFD-201202:license:82207527,WSFD-201202,82207527,LKV2LVLR01,本地VLR ”,
WSFD-201203:license:82207528,WSFD-201203,82207528,LKV2SRGF01,S-GW/P-GW故障下的业务恢复,
WSFD-201205:license:82200BNL,WSFD-201205,82200BNL,LKV2FRPH02,基于HSS/UDM的P-CSCF故障恢复,
WSFD-201208:license:82207699,WSFD-201208,82207699,LKV2BHVT01,VoLTE承载延时保活,
WSFD-201301:license:82209418,WSFD-201301,82209418,LKV3WPHOLW11,E-UTRAN和WLAN互操作,
WSFD-201302:license:82209419,WSFD-201302,82209419,LKV3WPWLAN11,支持WLAN与GSM/UMTS/LTE双流并发,
WSFD-201303:license:82200FNQ,WSFD-201303,82200FNQ,LKV2VOWFNRSM01,VoWifi和VoNR互操作-USM,
WSFD-205001:license:82206153,WSFD-205001,82206153,LKV2GGSNR02,网关路由选择功能,
WSFD-205002:license:82206560,WSFD-205002,82206560,LKV2CCGSN02,基于计费属性选择网关,
WSFD-205003:license:82206561,WSFD-205003,82206561,LKV2LOCGSN02,基于位置区域选择网关,
WSFD-205004:license:82205919,WSFD-205004,82205919,LKV2SELGW03,S-GW/P-GW拓扑选择,
WSFD-205005:license:82205920,WSFD-205005,82205920,LKV2GSUE02,基于UE接入能力选择网关,
WSFD-205006:license:82206562,WSFD-205006,82206562,LKV2SELGW04,基于P-GW锚点选择S-GW,
WSFD-205007:license:82207534,WSFD-205007,82207534,LKV2PRLP01,本地P-GW的PDN重建,
WSFD-205008:license:82206563,WSFD-205008,82206563,LKV2C6GS01,Category 6 网关选择,
WSFD-205009:license:82207022,WSFD-205009,82207022,LKV2SHNA01,基于HeNB GW的HeNB接入,
WSFD-205010:license:82200CAF,WSFD-205010,82200CAF,LKV2SDSC01,基于服务区域的SMF选择,
WSFD-205011:license:82200CCY,WSFD-205011,82200CCY,LKV2AMFLS01,本地PDU会话重建-UAM,AMF
WSFD-205011:license:82200CJR,WSFD-205011,82200CJR,LKV2SMFLS01,本地PDU会话重建-USM,SMF
WSFD-205012:license:82200CAH,WSFD-205012,82200CAH,LKV2ASLSR01,跨域互联互通-AMF,AMF
WSFD-205012:license:82200CAJ,WSFD-205012,82200CAJ,LKV2ASLSR02,跨域互联互通-SMF,SMF
WSFD-205101:license:82207993,WSFD-205101,82207993,LKV3W9RBMS12,支持Routing Behind MS,
WSFD-205102:license:82207939,WSFD-205102,82207939,LKV3W9VAPN12,虚拟APN,
WSFD-205104:license:82208356,WSFD-205104,82208356,LKV3W9SACT11,支持用户发起的二次激活,
WSFD-205105:license:82200BNN,WSFD-205105,82200BNN,LKV2RCON01,上下文回收管理,
WSFD-205107:license:81202991,WSFD-205107,81202991,LKV3W9GPSP11,GGSN/P-GW信令代理,
WSFD-206001:license:82200CGR,WSFD-206001,82200CGR,LKV2PRPG02,精准寻呼,
WSFD-206002:license:82207535,WSFD-206002,82207535,LKV2LUSC01,LTE UE信令控制** ”,
WSFD-206003:license:82207033,WSFD-206003,82207033,LKV2ASCC01,基于APN的信令拥塞控制,
WSFD-206004:license:82206600,WSFD-206004,82206600,LKV2POFT01,固定终端寻呼优化,
WSFD-206005:license:82207536,WSFD-206005,82207536,LKV2SPCB02,SmartPhone控制基础功能** ”,
WSFD-206006:license:82207537,WSFD-206006,82207537,LKV2SPAS02,SmartPhone异常信令节省** ”,
WSFD-206007:license:82207538,WSFD-206007,82207538,LKV2SPTM02,SmartPhone话务模型统计** ”,
WSFD-206008:license:82200CQT,WSFD-206008,82200CQT,LKV2SAUSC01,5G UE信令控制,
WSFD-206009:license:81203853,WSFD-206009,81203853,LKV2SHFCUNC01,服务化接口HTR流控 - UNC,
WSFD-206010:license:82200JAM,WSFD-206010,82200JAM,LKV2SGPPG01,"基于分组的智能寻呼 """,
WSFD-206101:license:82200EEX,WSFD-206101,82200EEX,LKV2UDMBPMM01,UDM全故障业务逃生-UAM,AMF
WSFD-206101:license:82200EDN,WSFD-206101,82200EDN,LKV2UDMBPSM01,UDM全故障智能业务逃生,SMF
WSFD-206102:license:82200ENT,WSFD-206102,82200ENT,LKV2HSSBP01,HSS全故障业务逃生,
WSFD-207001:license:82206615,WSFD-207001,82206615,LKV2MOCN02,网络共享(MOCN),
WSFD-207002:license:82207708,WSFD-207002,82207708,LKV2GWCN02,网络共享(GWCN),
WSFD-207003:license:82205929,WSFD-207003,82205929,LKV2MOCN03,基于LTE的网络共享（MOCN）,
WSFD-207004:license:82207539,WSFD-207004,82207539,LKV2GWCN03,基于LTE的网络共享(GWCN),
WSFD-207005:license:82207540,WSFD-207005,82207540,LKV2MVNO02,MVNO,
WSFD-207006:license:82207541,WSFD-207006,82207541,LKV2MVNO03,基于LTE的MVNO,
WSFD-207007:license:82200BNP,WSFD-207007,82200BNP,LKV2MOCN04,基于5G的网络共享（MOCN）,
WSFD-209001:license:81202576,WSFD-209001,81202576,LKV6SEDEAV01,业务处理单元可靠性可定义 ”,
WSFD-209002:license:V6DIFAIS01,WSFD-209002,V6DIFAIS01,81202579,磁盘故障隔离 ”,
WSFD-211001:license:82200BNQ,WSFD-211001,82200BNQ,LKV2PCIAL01,基于初始接入位置的策略控制,
WSFD-211002:license:82200DAW,WSFD-211002,82200DAW,LKV2PYCTRL1,基于实时位置信息的策略控制功能-USM,
WSFD-211005:license:82200CQU,WSFD-211005,82200CQU,LKV3TCBSA01,基于业务感知的带宽控制,
WSFD-211009:license:82200BNU,WSFD-211009,82200BNU,LKV2FUPSAT01,基于业务累计流量的策略控制,
WSFD-211101:license:82209457,WSFD-211101,82209457,LKV3W9WOCR11,基于小区负荷上报的无线资源优化,
WSFD-213001:license:82209930,WSFD-213001,82209930,LKV2CUFMN01,CU FullMesh组网,
WSFD-213002:license:82200BAH,WSFD-213002,82200BAH,LKV2NFSRA01,NF业务可靠性保障,
WSFD-213004:license:82200CQY,WSFD-213004,82200CQY,LKV3GWUISL01,GW-U故障隔离,
WSFD-214000:license:81203251,WSFD-214000,81203251,LKV2NRLNF01,NRF分层组网,
WSFD-214101:license:81203513,WSFD-214101,81203513,LKV2NFACV01,支持NF属性检查与校验,
WSFD-215001:license:82207026,WSFD-215001,82207026,LKV2M2MS01,终端省电PSM模式,
WSFD-215002:license:82207382,WSFD-215002,82207382,LKV2EDRX01,NB-IoT eDRX模式,
WSFD-215101:license:82207029,WSFD-215101,82207029,LKV2DNAS01,基于信令面的数据传输,
WSFD-215102:license:82207713,WSFD-215102,82207713,LKV2UPTH01,NB-IoT用户面传输通道保活 ”,
WSFD-215103:license:82207383,WSFD-215103,82207383,LKV2NOIP01,Non-IP数据传输”,
WSFD-215104:license:82208411,WSFD-215104,82208411,LKV2GSDT01,NB-IoT基于SGs接口的短消息,
WSFD-215201:license:82207030,WSFD-215201,82207030,LKV2LTCC01,基于延迟定时器的信令拥塞控制,
WSFD-215202:license:82207028,WSFD-215202,82207028,LKV2CELP01,基于eNodeB覆盖等级的寻呼,
WSFD-215203:license:82207031,WSFD-215203,82207031,LKV2LPAC01,低优先级接入控制,
WSFD-215204:license:82207714,WSFD-215204,82207714,LKV2AARC01,基于APN的NB-IoT终端接入速率控制,
WSFD-215205:license:82209410,WSFD-215205,82209410,LKV3WNBPRC11,基于服务PLMN的NB-IoT终端接入速率控制”,
WSFD-215301:license:81202653,WSFD-215301,81202653,LKV2HUNN01,HSS免升级,
WSFD-215302:license:81203082,WSFD-215302,81203082,LKV3WNPUNN11,PCRF免升级,
WSFD-215401:license:82208417,WSFD-215401,82208417,LKV2PTST01,NB-IoT 终端异常信令与流量管理,
WSFD-215501:license:82208414,WSFD-215501,82208414,LKV2CNB201,支持Category NB2接入,
WSFD-215502:license:82208415,WSFD-215502,82208415,LKV2HARQ01,支持2 HARQ终端 接入,
WSFD-216001:license:82207718,WSFD-216001,82207718,LKV2M2MS02,eMTC终端省电PSM模式,
WSFD-216002:license:82207719,WSFD-216002,82207719,LKV2EDRX02,eMTC eDRX模式,
WSFD-216101:license:82207720,WSFD-216101,82207720,LKV2LTCC02,eMTC基于延迟定时器的信令拥塞控制,
WSFD-216102:license:82207721,WSFD-216102,82207721,LKV2CELP02,eMTC基于eNodeB覆盖等级的寻呼,
WSFD-216103:license:82207722,WSFD-216103,82207722,LKV2LPAC02,eMTC低优先级接入控制,
WSFD-216104:license:82209414,WSFD-216104,82209414,LKV3WMTARC11,基于APN的eMTC终端接入速率控制,
WSFD-216105:license:82209415,WSFD-216105,82209415,LKV3WMTPRC11,基于服务PLMN的eMTC终端接入速率控制,
WSFD-220001:license:82200DJA,WSFD-220001,82200DJA,LKV2NIMRR01,NAS IMR信令上报,
WSFD-221001:license:82200DFE,WSFD-221001,82200DFE,LKV2VCHSM01,VoNR承载延时保活-USM,
WSFD-221002:license:82200BNL,WSFD-221002,82200BNL,LKV2FRPH02,基于HSS/UDM的P-CSCF故障恢复,
WSFD-221003:license:82200DSG,WSFD-221003,82200DSG,LKV2FRVNRPCF01,基于PCF的VoNR业务快速恢复”**,
WSFD-223002:license:82200BYX,WSFD-223002,82200BYX,LKV2SUPFS01,共享UPF选择,SMF
WSFD-223002:license:82200DDS,WSFD-223002,82200DDS,LKV2SUPFS02,公私网协同访问,SMF
WSFD-223003:license:82200DSK,WSFD-223003,82200DSK,LKV2DTSPCINRA01,基于漫游地动态签约的分流策略控制-UAM,AMF
WSFD-223003:license:82200DSM,WSFD-223003,82200DSM,LKV2TDPCODSRA01,基于漫游地动态签约的分流策略控制-USM,SMF
WSFD-223004:license:82200DHA,WSFD-223004,82200DHA,LKV2PCDTO01,基于动态规则的分流策略控制,
WSFD-223101:license:82200EDR,WSFD-223101,82200EDR,LKV2PCPRSM01,基于预定义规则的分流策略控制(4G),
WSFD-223102:license:82200EDS,WSFD-223102,82200EDS,LKV2PCDRSM01,基于动态规则的分流策略控制(4G),
WSFD-224001:license:82200ECG,WSFD-224001,82200ECG,LKV2SAIRA01,5G SA国际漫游接入用户数-UAM,AMF
WSFD-224001:license:82200EDC,WSFD-224001,82200EDC,LKV2SAIRASM01,支持SA国际漫游接入-USM,SMF
