id,source_feature_id,target_feature_id,dependency_type,description,license_control_item,source_type,conflict_pair_id
WSFD-010702:dep:WSFD-010501,WSFD-010702,WSFD-010501,affects,会话管理需要进行QoS协商。,-,overview_explicit,
WSFD-010702:dep:WSFD-011006,WSFD-010702,WSFD-011006,affects,QoS可以实现R97/98到R99映射功能。,-,overview_explicit,
WSFD-010702:dep:WSFD-105102,WSFD-010702,WSFD-105102,affects,背景类、交互类、流类QoS与会话类QoS等级业务承载的基本原理相同。,82206578 LKV2CNVQOS02 提供会话类QoS等级业务承载,overview_explicit,
WSFD-010703:dep:WSFD-011006,WSFD-010703,WSFD-011006,interacts_with,QoS可以实现R97/98到R99映射功能。,-,overview_explicit,
WSFD-010804:dep:WSFD-010802,WSFD-010804,WSFD-010802,affects,建议开启 [统一HTR流控](../WSFD-010802 周边网元过载保护/统一HTR流控功能_61608942.md) 功能，控制向周边网元发送的信令数量，避免网络拥塞。,-,overview_explicit,
WSFD-010900:dep:WSFD-010701,WSFD-010900,WSFD-010701,interacts_with,IP数据包传输过程中涉及QoS的内容。,-,overview_explicit,
WSFD-010900:dep:IPFD-014000,WSFD-010900,IPFD-014000,interacts_with,IP数据包传输过程中涉及路由功能方面的内容。,-,overview_explicit,
WSFD-010900:dep:WSFD-011101,WSFD-010900,WSFD-011101,interacts_with,IP数据包传输过程中涉及Gb over IP方面的内容。,-,overview_explicit,
WSFD-010900:dep:WSFD-011102,WSFD-010900,WSFD-011102,interacts_with,IP数据包传输过程中涉及Iu over IP方面的内容。,-,overview_explicit,
WSFD-010901:dep:WSFD-206001,WSFD-010901,WSFD-206001,affects,满足本特性的流控条件后触发寻呼自动流控，可能会无法按照WSFD-206001 精准寻呼特性配置的重发次数进行TA List范围的寻呼消息重发。,82200CGR LKV2PRPG02 精准寻呼,overview_explicit,
WSFD-010901:dep:WSFD-010802,WSFD-010901,WSFD-010802,affects,WSFD-010802 周边网元过载保护特性中N2接口固定速率流控功能优先级高于本特性，如果达到N2接口固定速率流控条件会启动流控。,-,overview_explicit,
WSFD-011002:dep:WSFD-010106,WSFD-011002,WSFD-010106,depends_on,使用本特性的前提是支持GERAN/UTRAN双接入。,-,overview_explicit,
WSFD-011005:dep:WSFD-010106,WSFD-011005,WSFD-010106,depends_on,只有在启用了支持GERAN/UTRAN双接入特性的前提下，本特性才能发挥作用。,-,overview_explicit,
WSFD-011107:dep:WSFD-010201,WSFD-011107,WSFD-010201,interacts_with,Gn接口涉及移动性管理流程。,-,overview_explicit,
WSFD-011107:dep:WSFD-010501,WSFD-011107,WSFD-010501,interacts_with,Gn接口涉及的隧道管理流程属于会话管理内容。,-,overview_explicit,
WSFD-011107:dep:WSFD-010600,WSFD-011107,WSFD-010600,interacts_with,SGSN可以通过Gn接口发送用于路径探测的Echo消息。,-,overview_explicit,
WSFD-011107:dep:WSFD-011002,WSFD-011107,WSFD-011002,interacts_with,Gn接口的数据转发功能中有2.5G与3G系统间切换的流程。,-,overview_explicit,
WSFD-011108:dep:WSFD-010201,WSFD-011108,WSFD-010201,interacts_with,Gp接口涉及移动性管理流程。,-,overview_explicit,
WSFD-011108:dep:WSFD-010501,WSFD-011108,WSFD-010501,interacts_with,Gp接口涉及的隧道管理流程属于会话管理内容。,-,overview_explicit,
WSFD-011108:dep:WSFD-010600,WSFD-011108,WSFD-010600,interacts_with,SGSN可以通过Gp接口发送用于路径探测的Echo消息。,-,overview_explicit,
WSFD-011108:dep:WSFD-011002,WSFD-011108,WSFD-011002,interacts_with,Gp接口的数据转发功能中有2.5G与3G系统间切换的流程。,-,overview_explicit,
WSFD-011118:dep:WSFD-104412,WSFD-011118,WSFD-104412,depends_on,S2b接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81202714 逻辑接口支持IPV6,overview_explicit,
WSFD-011119:dep:WSFD-104412,WSFD-011119,WSFD-104412,depends_on,SGi接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81202714 逻辑接口支持IPv681203246 逻辑接口支持IPV6-UAM81203247 逻辑接口支持IPv6-USM81203248 逻辑接口支持IPV6-NRF81203249 逻辑接口支持IPV6-NSSF,overview_explicit,
WSFD-011127:dep:WSFD-104412,WSFD-011127,WSFD-104412,depends_on,Ga接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81202714 逻辑接口支持IPv681202729 逻辑接口支持IPv681203246 逻辑接口支持IPV6-UAM81203247 逻辑接口支持IPv6-USM81203248 逻辑接口支持IPV6-NRF81203249 逻辑接口支持IPV6-NSSF,overview_explicit,
WSFD-011128:dep:WSFD-104412,WSFD-011128,WSFD-104412,depends_on,Gy接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81202714 逻辑接口支持IPv681202729 逻辑接口支持IPv681203246 逻辑接口支持IPV6-UAM81203247 逻辑接口支持IPv6-USM81203248 逻辑接口支持IPV6-NRF81203249 逻辑接口支持IPV6-NSSF,overview_explicit,
WSFD-011129:dep:WSFD-104412,WSFD-011129,WSFD-104412,depends_on,Gx接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81202714 逻辑接口支持IPv681202729 逻辑接口支持IPv681203246 逻辑接口支持IPV6-UAM81203247 逻辑接口支持IPv6-USM81203248 逻辑接口支持IPV6-NRF81203249 逻辑接口支持IPV6-NSSF,overview_explicit,
WSFD-011130:dep:WSFD-104412,WSFD-011130,WSFD-104412,depends_on,Gi接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81202714 逻辑接口支持IPv681202729 逻辑接口支持IPv681203246 逻辑接口支持IPV6-UAM81203247 逻辑接口支持IPv6-USM81203248 逻辑接口支持IPV6-NRF81203249 逻辑接口支持IPV6-NSSF,overview_explicit,
WSFD-011132:dep:WSFD-109101,WSFD-011132,WSFD-109101,depends_on,使用Gx接口的DRA特性，需要先开启PCC基本功能。,82209964 PCC基本功能-UAM82207979 PCC基本功能,overview_explicit,
WSFD-011132:dep:WSFD-104508,WSFD-011132,WSFD-104508,depends_on,当GGSN/PGW-C与DRA之间基于SCTP协议建立Diameter链路时，需要部署SCTP功能。,82208353; SCTP,overview_explicit,
WSFD-011133:dep:WSFD-109101,WSFD-011133,WSFD-109101,depends_on,当需要根据用户签约信息选择不同的OCS，可以采用PCRF下发OCS信息的方式，这种情况下需要部署PCRF并开启PCC基本功能。,82209964 PCC基本功能-UAM82207979 PCC基本功能,overview_explicit,
WSFD-011133:dep:WSFD-109001,WSFD-011133,WSFD-109001,depends_on,使用Gy接口的DRA特性，需要先开启在线计费基本功能。,82207989 Gy/Diameter在线计费,overview_explicit,
WSFD-011133:dep:WSFD-104508,WSFD-011133,WSFD-104508,depends_on,当GGSN/PGW-C与DRA之间基于SCTP协议建立Diameter链路时，需要部署SCTP功能。,82208353 SCTP,overview_explicit,
WSFD-011201:dep:WSFD-109002,WSFD-011201,WSFD-109002,depends_on,如果需要基于业务粒度对用户业务进行离线计费，需要同时开启内容计费基本功能。,82207988 LKV3W9BCC12 内容计费基本功能,overview_explicit,
WSFD-011201:dep:WSFD-109004,WSFD-011201,WSFD-109004,depends_on,如果需要基于业务流量对用户业务进行离线计费，需要开启基于业务流量的计费。,82207990 LKV3WPVBCS11 基于业务流量的计费,overview_explicit,
WSFD-011201:dep:WSFD-109003,WSFD-011201,WSFD-109003,depends_on,如果需要基于业务时长对用户业务进行在线计费，需要开启基于业务时长的计费。,82207991 LKV3W9TBCS12 基于业务时长的计费,overview_explicit,
WSFD-011202:dep:WSFD-011201,WSFD-011202,WSFD-011201,depends_on,热计费功能是离线计费的增强特性，开启热计费需要开启离线计费功能。,离线计费,overview_explicit,
WSFD-011206:dep:WSFD-109002,WSFD-011206,WSFD-109002,depends_on,如果需要基于业务粒度对用户业务进行融合计费，需要同时开启内容计费基本功能。,82207988 LKV3W9BCC12 内容计费基本功能,overview_explicit,
WSFD-011206:dep:WSFD-109004,WSFD-011206,WSFD-109004,depends_on,如果需要基于业务流量对用户业务进行融合计费，需要开启基于业务流量的计费。,82207990 LKV3WPVBCS11 基于业务流量的计费,overview_explicit,
WSFD-011206:dep:WSFD-109003,WSFD-011206,WSFD-109003,depends_on,如果需要基于业务时长对用户业务进行融合计费，需要开启基于业务时长的计费。,82207991 LKV3W9TBCS12 基于业务时长的计费,overview_explicit,
WSFD-011305:dep:WSFD-011306,WSFD-011305,WSFD-011306,depends_on,使用非透明接入、透明鉴权接入时必须开启Radius功能。,-,overview_explicit,
WSFD-011308:dep:WSFD-011306,WSFD-011308,WSFD-011306,depends_on,使用AAA负荷分担功能同时需要开启RADIUS功能中的鉴权或计费功能。,-,overview_explicit,
WSFD-011521:dep:WSFD-011501,WSFD-011521,WSFD-011501,depends_on,NSA(Opt.3)组网是NSA 用户QoS管理特性的基础组网，故需要NSA组网。,-,overview_explicit,
WSFD-011522:dep:WSFD-011503,WSFD-011522,WSFD-011503,depends_on,需要先激活基于终端能力接入管理功能，才能正常启用NSA自动开户特性。,82209133 5G NSA(Opt.3)附着用户数,overview_explicit,
WSFD-011601:dep:WSFD-215101,WSFD-011601,WSFD-215101,affects,基于信令面的数据传输特性是否开启，影响仅支持CP-CIoT的NB-IoT终端能否成功接入网络。,82207029 基于信令面的数据传输,overview_explicit,
WSFD-011601:dep:WSFD-215102,WSFD-011601,WSFD-215102,affects,NB-IoT用户面传输通道保活特性是否开启，影响仅支持UP-CIoT的NB-IoT终端能否成功使用UP-CIoT数据传输方式。,82207713 NB-IoT用户面传输通道保活,overview_explicit,
WSFD-011601:dep:WSFD-215301,WSFD-011601,WSFD-215301,affects,当HSS不能支持NB-IoT终端接入时，HSS免升级特性是否开启，影响NB-IoT终端能否成功接入网络。,81202653 HSS免升级,overview_explicit,
WSFD-011603:dep:WSFD-011602,WSFD-011603,WSFD-011602,depends_on,当订阅请求消息中携带了签约周期TAU定时器时，需要同时部署“WSFD-011602 M2M长周期性定时器”特性。,无控制项,overview_explicit,
WSFD-011603:dep:WSFD-215001,WSFD-011603,WSFD-215001,affects,当UE可达事件订阅中携带了Maximum Response Time参数时，MME可将该参数映射为Active Timer（T3324），在PSM特性中做为Active Timer的一个来源发送给终端。,82207026 终端省电PSM模式,overview_explicit,
WSFD-102001:dep:WSFD-106004,WSFD-102001,WSFD-106004,affects,如果激活了 [WSFD-106004 请求信息纠正功能](../../会话管理功能/WSFD-106004 请求信息纠正功能/WSFD-106004 请求信息纠正功能（适用于SGSN、MME）_81164509.md) ，建议关闭用户请求IMS APN的纠正功能，避免未签约IMS APN的用户错误尝试IMS语音业务。,82205928 请求信息纠正功能,overview_explicit,
WSFD-102001:dep:WSFD-102003,WSFD-102001,WSFD-102003,affects,本功能需要和 [WSFD-102003 SRVCC](../WSFD-102003 SRVCC_66442619.md) 特性联合部署，以保证用户进行VoLTE通话过程中，从LTE移动到只有GSM/UMTS覆盖地区时通话的连续。,82206605 VoLTE基础特性,overview_explicit,
WSFD-102001:dep:WSFD-102101,WSFD-102001,WSFD-102101,affects,本功能需要和 [WSFD-102101 VoLTE紧急呼叫](../WSFD-102101 VoLTE紧急呼叫_70014690.md) 特性联合部署，以保证紧急呼叫业务可用。,82206606 VoLTE紧急呼叫,overview_explicit,
WSFD-102001:dep:WSFD-201002,WSFD-102001,WSFD-201002,affects,本功能建议和 [WSFD-201002 用户群语音策略控制](../WSFD-201002 用户群语音策略控制_70014708.md) 特性联合部署，以保证系统可以根据UE的签约情况（是否签约IMS域APN）决定是否指示UE使用VoLTE业务，避免终端选择错误的语音承载方式。,82206608 用户群语音策略控制,overview_explicit,
WSFD-102001:dep:WSFD-201005,WSFD-102001,WSFD-201005,affects,当只有部分E-UTRAN支持VoLTE语音业务时，建议同时部署 [WSFD-201005 基于区域的语音策略控制](../WSFD-201005 基于区域的语音策略控制_70014726.md) 特性。,82207032 基于区域的语音策略控制,overview_explicit,
WSFD-102003:dep:WSFD-102001,WSFD-102003,WSFD-102001,depends_on,部署本特性前需要先开启 [WSFD-102001 VoLTE基础语音业务](../WSFD-102001 VoLTE基础语音业务_67023607.md) 特性，以保证基本的VoLTE语音业务功能。,82206605 VoLTE基础特性,overview_explicit,
WSFD-102003:dep:WSFD-104405,WSFD-102003,WSFD-104405,affects,部署本特性时，建议同时部署 [WSFD-104405 基于SGs和Sv接口的默认MSC选择](../../组网功能/WSFD-104405 基于SGs和Sv接口的默认MSC选择_63530673.md) 特性，这样在SRVCC业务过程中，如果MME解析MSC失败，可以尝试使用Default LAI解析MSC，提升业务成功率。,82206559 基于SGs和Sv接口的默认MSC选择,overview_explicit,
WSFD-102004:dep:WSFD-102001,WSFD-102004,WSFD-102001,depends_on,本特性开启前需要开启 [WSFD-102001 VoLTE基础语音业务](../WSFD-102001 VoLTE基础语音业务_67023607.md) ，以确保VoLTE基本功能可用。,82206605 VoLTE基础语音业务,overview_explicit,
WSFD-102004:dep:WSFD-010801,WSFD-102004,WSFD-010801,affects,本特性需要和 [WSFD-010801 系统过载控制功能](../../流控功能/WSFD-010801 系统过载控制功能_61593024.md) 的S1寻呼流控一起部署，确保在MME系统过载场景下，MME能够优先处理语音业务。,-,overview_explicit,
WSFD-102004:dep:WSFD-109101,WSFD-102004,WSFD-109101,depends_on,需要从PCRF获取规则，PCC基本功能必须开启。,82207979 PCC 基本功能,overview_explicit,
WSFD-102004:dep:WSFD-109301,WSFD-102004,WSFD-109301,depends_on,需要部署网络侧发起专有PDP/承载建立特性。,82200BNR 网络侧发起专有PDP/承载建立,overview_explicit,
WSFD-102005:dep:WSFD-102001,WSFD-102005,WSFD-102001,depends_on,部署本特性前需要先开启 [WSFD-102001 VoLTE基础语音业务](../WSFD-102001 VoLTE基础语音业务_67023607.md) 特性，以保证基本的VoLTE语音业务功能。,82206605 VoLTE基础语音业务,overview_explicit,
WSFD-102101:dep:WSFD-102001,WSFD-102101,WSFD-102001,depends_on,本特性开启前需要开启特性“ WSFD-102001 VoLTE基础语音业务 ”。,82206605 VoLTE基础特性,overview_explicit,
WSFD-102101:dep:WSFD-102003,WSFD-102101,WSFD-102003,affects,如果需要支持LTE网络切换到GSM/UMTS电路域保持通话不断，需要部署“WSFD-102003 SRVCC”特性。,82206605 VoLTE基础特性,overview_explicit,
WSFD-102101:dep:WSFD-010801,WSFD-102101,WSFD-010801,affects,为确保系统过载场景下，紧急呼叫被优先接入，建议同时启用“WSFD-010801 系统过载控制功能”特性。,-,overview_explicit,
WSFD-102101:dep:WSFD-201005,WSFD-102101,WSFD-201005,affects,UNC 覆盖的位置区域中，只有部分E-UTRAN支持VoLTE语音业务时，建议同时部署“WSFD-201005 基于区域的语音策略控制”。,82207032 基于区域的语音策略控制,overview_explicit,
WSFD-102101:dep:WSFD-106012,WSFD-102101,WSFD-106012,interacts_with,本特性不依赖于“WSFD-106012 支持Null-MSISDN”特性，即没有携带MSISDN的紧急呼叫用户，在Null-MSISDN功能开关为关闭时，也被允许接入。,82207024 支持Null-MSISDN,overview_explicit,
WSFD-102102:dep:WSFD-106401,WSFD-102102,WSFD-106401,depends_on,本特性开启前需要开启特性 [WSFD-106401 位置定位服务（LCS）（适用于MME）](../../位置业务管理/WSFD-106401 位置定位服务（LCS）/WSFD-106401 位置定位服务（LCS）（适用于MME）_91808341.md) 。按照协议，NI-LR是LCS定位服务中的其中一种，LCS特性中提供了标准定位流程中的定位方法和定位消息传递功能。,82207547 位置定位服务(LCS),overview_explicit,
WSFD-102102:dep:WSFD-102101,WSFD-102102,WSFD-102101,depends_on,本特性开启前需要开启特性 [WSFD-102101 VoLTE紧急呼叫](../WSFD-102101 VoLTE紧急呼叫_70014690.md) 。VoLTE紧急呼叫作为NI-LR的触发源。,82206606 VoLTE紧急呼叫,overview_explicit,
WSFD-102102:dep:WSFD-106403,WSFD-102102,WSFD-106403,interacts_with,在与E-SMLC交互前或者E-SMLC定位失败或超时场景，获取最新ECGI信息，依赖于 [WSFD-106403 小区位置信息上报功能（S11接口）](../../智能PCC解决方案/基于实时位置的策略控制/相关特性/WSFD-106403 小区位置信息上报功能（S11接口）_68358266.md) ，该特性提供获取最新用户小区位置ID的功能。,82207550 小区位置信息上报功能(S11接口),overview_explicit,
WSFD-102102:dep:WSFD-102707,WSFD-102102,WSFD-102707,interacts_with,根据协议规定只能由源侧AMF/MME或目标侧AMF/MME的一侧进行位置信息的上报。在4G和5G互切换场景时，AMF与MME的位置信息交互和上报，依赖于 [WSFD-102707 VoNR紧急呼叫的定位(NI-LR)](../WSFD-102707 VoNR紧急呼叫的定位(NI-LR)_89609368.md) 。,-,overview_explicit,
WSFD-102202:dep:WSFD-102001,WSFD-102202,WSFD-102001,depends_on,P-CSCF故障时IMS业务恢复特性作为IMS接入的特性，必须开启IMS接入特性。,82208002 LKV3W9IMSA12 VoLTE基础语音业务,overview_explicit,
WSFD-102202:dep:WSFD-109101,WSFD-102202,WSFD-109101,depends_on,P-CSCF故障时IMS业务恢复特性必须有PCRF/PCF的部署支撑，必须开启PCC基本功能。,82209964 LKV2PCCBF01 PCC 基本功能-UAM82207979 LKV3W9SPCC11 PCC 基本功能,overview_explicit,
WSFD-102203:dep:WSFD-201103,WSFD-102203,WSFD-201103,depends_on,基于PCRF/PCF的VoLTE业务快速恢复特性作为IMS接入的特性，必须开启IMS接入特性。,“82206550 IMS功能”,overview_explicit,
WSFD-102203:dep:WSFD-109301,WSFD-102203,WSFD-109301,depends_on,需要部署网络侧发起专有PDP/承载建立特性。,**“82200BNR 网络侧发起专有PDP/承载建立”**,overview_explicit,
WSFD-102203:dep:WSFD-109101,WSFD-102203,WSFD-109101,depends_on,基于PCRF/PCF的VoLTE业务快速恢复特性必须有PCRF/PCF的部署支撑，必须开启PCC基本功能。,**“82209964 PCC基本功能-UAM”****“82207979 PCC基本功能”**,overview_explicit,
WSFD-102203:dep:WSFD-102202,WSFD-102203,WSFD-102202,depends_on,基于PCRF/PCF的VoLTE业务快速恢复特性需要依赖P-CSCF故障时IMS业务恢复功能的周期性检测P-CSCF状态功能，必须开启P-CSCF故障时IMS业务恢复功能，且关闭其中的 [**SET PCSCFCTRL**](../../../../../OM参考/命令/UNC MML命令/业务服务管理/会话管理/IMS管理/P-CSCF管理/P-CSCF故障恢复控制/设置P-CSCF控制配置（SET PCSCFCTRL）_09653206.md) 配置。,**“82208005 P-CSCF故障时IMS业务恢复”**,overview_explicit,
WSFD-102401:dep:WSFD-102301,WSFD-102401,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102402:dep:WSFD-102301,WSFD-102402,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102403:dep:WSFD-102301,WSFD-102403,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 LKV2CSFBGU02 基于CSFB的语音业务,overview_explicit,
WSFD-102404:dep:WSFD-102301,WSFD-102404,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102501:dep:WSFD-102301,WSFD-102501,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102502:dep:WSFD-102301,WSFD-102502,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102503:dep:WSFD-102301,WSFD-102503,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102504:dep:WSFD-102301,WSFD-102504,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 、 [WSFD-104408 通过SGs接口实现短消息](../../短消息功能/2_3_4_5G短消息/WSFD-104408 通过SGs接口实现短消息_63530679.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102504:dep:WSFD-104408,WSFD-102504,WSFD-104408,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 、 [WSFD-104408 通过SGs接口实现短消息](../../短消息功能/2_3_4_5G短消息/WSFD-104408 通过SGs接口实现短消息_63530679.md) 。,82205923 通过SGs接口实现短消息,overview_explicit,
WSFD-102505:dep:WSFD-102301,WSFD-102505,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102506:dep:WSFD-102301,WSFD-102506,WSFD-102301,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 和 [WSFD-104406 NACC](../../组网功能/WSFD-104406 NACC_63530676.md) 。,82205925 基于CSFB的语音业务,overview_explicit,
WSFD-102506:dep:WSFD-104406,WSFD-102506,WSFD-104406,depends_on,本特性开启前需要开启特性 [WSFD-102301 基于CSFB的语音业务](../WSFD-102301 基于CSFB的语音业务_70014756.md) 和 [WSFD-104406 NACC](../../组网功能/WSFD-104406 NACC_63530676.md) 。,82206565 NACC,overview_explicit,
WSFD-102601:dep:WSFD-105103,WSFD-102601,WSFD-105103,depends_on,部署本特性之前需要启用 [WSFD-105103 基于用户等级的QCI扩展](../../../QoS功能/WSFD-105103 基于用户等级的QCI扩展_62745885.md) 。,基于用户等级的QCI扩展,overview_explicit,
WSFD-102601:dep:WSFD-010801,WSFD-102601,WSFD-010801,affects,本特性需要和“ [WSFD-010801 系统过载控制功能](../../../流控功能/WSFD-010801 系统过载控制功能_61593024.md) ”一起部署，确保在系统过载场景下，MME能够优先处理PTT业务。,-,overview_explicit,
WSFD-102602:dep:WSFD-102601,WSFD-102602,WSFD-102601,depends_on,部署 LTE一键通 前，必须先启用 LTE一键通基础功能 。LTE一键通基础功能 与 LTE一键通 在资源控制方面存在差异，其他无差别。两个特性的资源控制差异如下： - LTE一键通基础功能为功能控制项，LTE一键通为资源控制项。 - LTE一键通基础功能支持1000个用户，如果需要支持更多的用户，需要开启LTE一键通功能。,“81202659 LKV2PPTF01 LTE一键通基础功能”,overview_explicit,
WSFD-102701:dep:WSFD-206001,WSFD-102701,WSFD-206001,affects,两个特性配套使用，实现语音的优先寻呼。,82200CGR LKV2PRPG02 精准寻呼,overview_explicit,
WSFD-102702:dep:WSFD-104511,WSFD-102702,WSFD-104511,depends_on,部署EPS Fallback前，必须先启用LTE和5G SA网络间切换功能。,82209913 LKV2HOLSAM01 LTE与5G SA网络间切换-UAM82209914 LKV2HOLSSM01 LTE与5G SA网络间切换-USM82209697 LKV2PHBL5 LTE和5G网络间切换,overview_explicit,
WSFD-102702:dep:WSFD-102703,WSFD-102702,WSFD-102703,affects,部署EPS Fallback紧急呼叫前，必须先启用本特性。,82200BNC LKV2EFEC01 EPS Fallback紧急呼叫,overview_explicit,
WSFD-102702:dep:WSFD-102003,WSFD-102702,WSFD-102003,affects,EPS Fallback过程中，需要携带SRVCC能力，保证用户继续向23G网络回落。,82206605 LKV2VOLTE01 VoLTE基础特性82208003 LKV3WPRVCC11 SRVCC,overview_explicit,
WSFD-102703:dep:WSFD-102702,WSFD-102703,WSFD-102702,depends_on,部署EPS Fallback紧急呼叫前，必须先启用EPS Fallback功能。,82209907 LKV2EFBAM01 EPS Fallback-UAM82209908 LKV2EFBSM01 EPS Fallback-USM,overview_explicit,
WSFD-102705:dep:WSFD-102701,WSFD-102705,WSFD-102701,depends_on,本特性开启前需要开启 [WSFD-102701 VoNR基础语音业务](../WSFD-102701 VoNR基础语音业务_11845316.md) ，以确保VoNR基本功能可用。,-,overview_explicit,
