feature_id,product_type,file_path
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3和OSPFv2协议比较_61317224.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3基本原理_61317172.md
IPFD-014001,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014001 支持OSPF/实现原理/OSPFv3/OSPFv3认证_61317398.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/IPFD-014002 支持BGP特性概述_61317186.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/4字节AS号_61317299.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BFD for BGP_26342281.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP ADD-PATH_61317352.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP Auto FRR_61317165.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP Best-external_61317278.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP GR_61317256.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP NSR_61317283.md
IPFD-014002,UDG,output/UDG_Product_Documentation_CH_20.15.2/特性部署/特性指南/UDG特性指南/IP基本特性/IPFD-014000 路由功能/IPFD-014002 支持BGP/实现原理/BGP基本原理_61317232.md
